0	3.1e-07
1000	0.00129621
2000	0.00521793
3000	0.0116852
4000	0.0207819
5000	0.0336239
6000	0.0466307
7000	0.0643127
8000	0.0826582
9000	0.105324
10000	0.130779
11000	0.157683
12000	0.187086
13000	0.21822
14000	0.254562
15000	0.291118
16000	0.33163
17000	0.372051
18000	0.421559
19000	0.466777
20000	0.516123
21000	0.570271
22000	0.628572
23000	0.684229
24000	0.74355
25000	0.806089
26000	0.873767
27000	0.95124
28000	1.01242
29000	1.08511
30000	1.16728
31000	1.24296
32000	1.3213
33000	1.40561
34000	1.49804
35000	1.58508
36000	1.69722
37000	1.78313
38000	1.87154
39000	1.96489
40000	2.07171
41000	2.17509
42000	2.28165
43000	2.38818
44000	2.49387
45000	2.61918
46000	2.73891
47000	2.85422
48000	2.97465
49000	3.10406
50000	3.2245
51000	3.35894
52000	3.49159
53000	3.67124
54000	3.76176
55000	3.9121
56000	4.04297
57000	4.18553
58000	4.33701
59000	4.48328
60000	4.65308
61000	4.80807
62000	4.95728
63000	5.1094
64000	5.27925
65000	5.44372
66000	5.61175
67000	5.82872
68000	5.96132
69000	6.13391
70000	6.32005
71000	6.50345
72000	6.68129
73000	6.88908
74000	7.06774
75000	7.26049
76000	7.43174
77000	7.65297
78000	7.86107
79000	8.07403
80000	8.31158
81000	8.44607
82000	8.68807
83000	8.87279
84000	9.09252
85000	9.33937
86000	9.52353
87000	9.76396
88000	10.0169
89000	10.2256
90000	10.4533
91000	10.6588
92000	10.9396
93000	11.1384
94000	11.3982
95000	11.6366
96000	11.9015
97000	12.1278
98000	12.4049
99000	12.6208
100000	12.9126
